Rank,Feature,Importance
1,HTHG,0.2104
2,HTAG,0.1673
3,TargetShotDifference,0.1643
4,ShotAccuracyDifference,0.1028
5,AST,0.0721
6,HST,0.056
7,HomeShotAccuracy,0.0452
8,AwayShotAccuracy,0.0278
9,PressureDifference,0.0181
10,ShotDifference,0.018
11,GoalFormDifference,0.017
12,CornerDifference,0.009
13,AS,0.0081
14,HS,0.0077
15,AwayRecentGoals,0.007
16,HomeRecentGoals,0.0068
17,HC,0.0057
18,TotalShots,0.0051
19,TotalFouls,0.0049
20,AwayRecentGoalsConceded,0.0046
21,HomeRecentGoalsConceded,0.0043
22,TotalCorners,0.0041
23,HR,0.004
24,AF,0.0039
25,CardDifference,0.0039
26,FoulDifference,0.0038
27,AC,0.0038
28,HF,0.0036
29,HY,0.0034
30,TotalCards,0.0034
31,AY,0.0025
32,AR,0.0012
