Season,Total_Matches,Avg_Goals_Per_Match,Home_Wins,Away_Wins,Draws
bundesliga-2010-11,306,2.92,141,102,63
bundesliga-2011-12,306,2.86,139,88,79
bundesliga-2012-13,306,2.93,130,98,78
bundesliga-2013-14,306,3.16,145,97,64
bundesliga-2014-15,306,2.75,145,79,82
bundesliga-2015-16,306,2.83,135,100,71
bundesliga-2016-17,306,2.87,150,82,74
bundesliga-2017-18,306,2.79,139,84,83
bundesliga-2018-19,306,3.18,138,95,73
bundesliga-2019-20,306,3.21,123,115,68
bundesliga-2020-21,306,3.03,129,96,81
bundesliga-2021-22,306,3.12,143,90,73
bundesliga-2022-23,306,3.17,145,86,75
bundesliga-2023-24,306,3.22,134,91,81
bundesliga-2024-25,305,3.14,118,110,77
bundesliga-2025-26,252,3.21,111,78,63
epl-2010-11,380,2.8,179,90,111
epl-2011-12,380,2.81,171,116,93
epl-2012-13,380,2.8,166,106,108
epl-2013-14,380,2.77,179,123,78
epl-2014-15,380,2.57,172,115,93
epl-2015-16,380,2.7,157,116,107
epl-2016-17,380,2.8,187,109,84
epl-2017-18,380,2.68,173,108,99
epl-2018-19,380,2.82,181,128,71
epl-2019-20,380,2.72,172,116,92
epl-2020-21,380,2.69,144,153,83
epl-2021-22,380,2.82,163,129,88
epl-2022-23,380,2.85,184,109,87
epl-2023-24,380,3.28,175,123,82
epl-2024-25,380,2.93,155,132,93
epl-2025-26,309,2.73,129,96,84
laliga-2010-11,380,2.74,197,104,79
laliga-2011-12,380,2.76,188,98,94
laliga-2012-13,380,2.87,189,107,84
laliga-2013-14,380,2.75,179,115,86
laliga-2014-15,380,2.66,171,118,91
laliga-2015-16,380,2.74,183,105,92
laliga-2016-17,380,2.94,181,110,89
laliga-2017-18,380,2.69,179,115,86
laliga-2018-19,380,2.59,168,102,110
laliga-2019-20,380,2.48,174,101,105
laliga-2020-21,380,2.51,158,113,109
laliga-2021-22,380,2.5,165,104,111
laliga-2022-23,380,2.51,182,109,89
laliga-2023-24,380,2.64,167,106,107
laliga-2024-25,380,2.62,169,114,97
laliga-2025-26,300,2.69,146,79,75
ligue-2010-11,380,2.34,157,93,130
ligue-2011-12,378,2.52,178,92,108
ligue-2012-13,380,2.54,170,102,108
ligue-2013-14,380,2.46,168,104,108
ligue-2014-15,380,2.49,181,111,88
ligue-2015-16,380,2.53,160,112,108
ligue-2016-17,379,2.61,186,99,94
ligue-2017-18,380,2.72,173,111,96
ligue-2018-19,380,2.56,164,106,110
ligue-2019-20,279,2.52,134,75,70
ligue-2020-21,380,2.76,142,143,95
ligue-2021-22,380,2.81,162,116,102
ligue-2022-23,380,2.81,163,125,92
ligue-2023-24,306,2.7,120,105,81
ligue-2024-25,306,2.98,143,101,62
ligue-2025-26,251,2.78,120,73,58
serie-2010-11,380,2.51,179,104,97
serie-2011-12,380,2.56,173,96,111
serie-2012-13,379,2.64,177,106,96
serie-2013-14,380,2.72,181,109,90
serie-2014-15,379,2.7,152,108,119
serie-2015-16,380,2.58,175,110,95
serie-2016-17,379,2.96,184,115,80
serie-2017-18,380,2.68,164,133,83
serie-2018-19,380,2.68,166,106,108
serie-2019-20,380,3.04,158,137,85
serie-2020-21,380,3.05,155,128,97
serie-2021-22,380,2.87,148,134,98
serie-2022-23,380,2.56,161,119,100
serie-2023-24,380,2.61,159,109,112
serie-2024-25,380,2.56,151,121,108
serie-2025-26,310,2.44,123,106,81
