Team,HomeGoals,AwayGoals,TotalGoals
Barcelona,857,664,1521
Bayern Munich,838,622,1460
Real Madrid,820,622,1442
Man City,787,575,1362
Paris SG,749,590,1339
Liverpool,649,539,1188
Dortmund,675,505,1180
Napoli,622,507,1129
Arsenal,628,499,1127
Inter,617,495,1112
Juventus,610,477,1087
Chelsea,576,481,1057
Tottenham,552,490,1042
Roma,582,447,1029
Man United,570,456,1026
Lyon,564,458,1022
Ath Madrid,601,410,1011
Leverkusen,545,464,1009
Milan,506,484,990
Lazio,553,424,977
Marseille,517,412,929
Atalanta,488,423,911
Fiorentina,481,394,875
Sevilla,509,364,873
Monaco,476,396,872
Hoffenheim,472,399,871
M'gladbach,491,359,850
Villarreal,503,339,842
Lille,486,351,837
Valencia,493,340,833
Sociedad,470,354,824
Rennes,447,359,806
Wolfsburg,440,355,795
Ath Bilbao,463,314,777
Everton,452,319,771
Newcastle,446,312,758
Ein Frankfurt,430,323,753
West Ham,410,329,739
Nice,420,317,737
Udinese,390,344,734
Mainz,394,334,728
Stuttgart,382,327,709
Montpellier,401,305,706
Werder Bremen,358,348,706
Celta,380,296,676
Torino,354,321,675
Betis,380,294,674
Freiburg,393,281,674
Bologna,369,293,662
RB Leipzig,358,290,648
Genoa,370,260,630
Augsburg,345,266,611
Sassuolo,312,294,606
Aston Villa,341,263,604
St Etienne,358,245,603
Espanol,341,250,591
Cagliari,343,230,573
Crystal Palace,288,280,568
Getafe,326,242,568
Toulouse,320,246,566
Schalke 04,326,233,559
Bordeaux,299,257,556
Sampdoria,316,239,555
Leicester,284,266,550
Southampton,302,240,542
Lorient,312,227,539
Levante,304,218,522
FC Koln,276,222,498
Nantes,262,224,486
Osasuna,277,203,480
Vallecano,277,194,471
Hertha,249,210,459
Fulham,265,190,455
Verona,250,205,455
Reims,236,202,438
Bournemouth,229,207,436
Strasbourg,241,193,434
Parma,225,206,431
Brighton,225,199,424
Brest,244,174,418
Wolves,234,183,417
Lens,215,178,393
Granada,214,176,390
West Brom,214,164,378
Angers,207,160,367
Malaga,219,134,353
Mallorca,199,144,343
Hannover,203,139,342
Hamburg,185,148,333
Burnley,170,162,332
Alaves,173,154,327
Stoke,202,124,326
Chievo,170,149,319
Empoli,172,143,315
Sunderland,169,143,312
Girona,175,131,306
Swansea,179,127,306
Eibar,169,128,297
Union Berlin,170,122,292
Brentford,152,122,274
Metz,157,113,270
Caen,140,129,269
Palermo,162,106,268
Lecce,139,112,251
Watford,137,109,246
Guingamp,149,95,244
Valladolid,134,110,244
La Coruna,141,98,239
Dijon,131,91,222
Norwich,127,82,209
Elche,116,91,207
Almeria,120,86,206
Auxerre,111,86,197
Las Palmas,114,81,195
Bastia,118,76,194
Leeds,95,94,189
Nurnberg,106,81,187
Troyes,93,92,185
Evian Thonon Gaillard,105,75,180
Sochaux,102,76,178
Leganes,100,76,176
Nott'm Forest,93,83,176
Catania,107,64,171
Valenciennes,112,59,171
Sp Gijon,101,58,159
Bochum,91,60,151
Nancy,85,61,146
Ajaccio,74,65,139
Wigan,70,59,129
Cadiz,71,56,127
Nimes,69,57,126
Fortuna Dusseldorf,69,55,124
Spezia,67,57,124
Crotone,67,52,119
Heidenheim,61,55,116
Monza,61,54,115
QPR,60,55,115
Salernitana,64,49,113
Zaragoza,68,45,113
Spal,58,52,110
Clermont,56,53,109
Frosinone,60,48,108
Hull,67,41,108
Como,59,43,102
Amiens,63,36,99
Bolton,57,41,98
Cesena,51,47,98
Le Havre,49,48,97
Darmstadt,48,48,96
Blackburn,48,46,94
Sheffield United,55,39,94
St Pauli,45,43,88
Siena,43,38,81
Huesca,41,36,77
Benevento,42,31,73
Kaiserslautern,37,35,72
Brescia,43,26,69
Ingolstadt,43,26,69
Santander,36,33,69
Paderborn,42,26,68
Cardiff,41,25,66
Venezia,38,28,66
Cremonese,28,34,62
Pescara,34,27,61
Blackpool,30,25,55
Greuther Furth,25,29,54
Bielefeld,28,25,53
Luton,28,24,52
Huddersfield,26,24,50
Holstein Kiel,24,25,49
Reading,23,20,43
Livorno,23,16,39
Ajaccio GFCO,23,14,37
Birmingham,19,18,37
Carpi,23,14,37
Hercules,27,9,36
Ipswich,14,22,36
Novara,20,15,35
Paris FC,18,15,33
Braunschweig,18,11,29
Bari,12,15,27
Middlesbrough,17,10,27
Pisa,7,16,23
Cordoba,12,10,22
Arles,14,7,21
Oviedo,7,14,21
